iter	Passed	Remaining
0	4	2221
1	6	1633
2	8	1375
3	9	1237
4	11	1161
5	13	1100
6	15	1060
7	16	1025
8	18	996
9	19	975
10	21	960
11	23	950
12	25	937
13	26	929
14	28	927
15	30	919
16	32	913
17	33	905
18	35	897
19	37	890
20	38	885
21	40	890
22	43	898
23	45	895
24	46	889
25	48	883
26	50	877
27	51	871
28	53	864
29	54	859
30	56	858
31	58	857
32	60	855
33	62	855
34	64	851
35	65	847
36	67	841
37	68	835
38	70	829
39	71	827
40	73	824
41	75	825
42	77	820
43	78	816
44	80	812
45	81	808
46	83	804
47	84	799
48	86	799
49	88	798
50	90	794
51	91	790
52	93	786
53	94	782
54	96	778
55	97	775
56	99	772
57	100	768
58	102	765
59	103	762
60	105	758
61	106	755
62	108	752
63	109	749
64	111	745
65	112	742
66	114	738
67	115	735
68	117	732
69	118	729
70	120	726
71	121	723
72	123	720
73	124	717
74	126	714
75	127	711
76	129	708
77	130	705
78	131	703
79	133	700
80	134	697
81	136	694
82	137	692
83	139	689
84	140	687
85	142	684
86	143	682
87	146	685
88	148	683
89	149	682
90	151	681
91	153	680
92	155	679
93	156	677
94	158	675
95	159	672
96	161	670
97	162	668
98	164	666
99	166	664
100	167	662
101	169	660
102	170	658
103	172	656
104	174	654
105	175	652
106	177	650
107	178	647
108	179	645
109	181	642
110	182	639
111	183	636
112	185	635
113	187	633
114	188	632
115	190	630
116	192	628
117	193	626
118	195	624
119	196	623
120	198	621
121	199	619
122	201	617
123	203	616
124	204	614
125	206	613
126	208	611
127	209	609
128	211	607
129	212	606
130	214	604
131	216	602
132	217	600
133	219	598
134	220	596
135	222	594
136	223	592
137	224	590
138	226	588
139	227	586
140	229	584
141	230	581
142	232	580
143	234	578
144	235	576
145	236	574
146	238	572
147	239	570
148	241	568
149	242	566
150	244	564
151	245	562
152	247	560
153	248	558
154	250	556
155	251	554
156	253	552
157	254	550
158	255	548
159	257	547
160	259	545
161	261	544
162	262	543
163	264	542
164	266	540
165	267	538
166	269	536
167	270	534
168	272	532
169	273	531
170	275	529
171	276	527
172	277	525
173	279	523
174	280	521
175	282	519
176	283	517
177	285	516
178	286	514
179	288	512
180	289	510
181	291	508
182	292	506
183	294	505
184	295	503
185	297	501
186	298	499
187	299	497
188	301	496
189	302	494
190	304	492
191	305	490
192	307	488
193	308	487
194	310	485
195	311	483
196	313	481
197	314	479
198	316	478
199	317	476
200	319	474
201	320	473
202	322	471
203	323	469
204	325	468
205	326	466
206	328	464
207	329	462
208	331	461
209	332	459
210	334	457
211	335	455
212	337	454
213	338	452
214	340	450
215	341	449
216	343	447
217	344	445
218	346	444
219	348	443
220	349	441
221	351	439
222	352	437
223	354	436
224	355	434
225	357	433
226	358	431
227	360	429
228	361	428
229	363	426
230	364	424
231	366	423
232	367	421
233	369	419
234	370	417
235	372	416
236	373	414
237	374	412
238	376	411
239	377	409
240	379	407
241	380	406
242	382	404
243	383	402
244	385	401
245	386	399
246	388	397
247	389	396
248	391	394
249	392	392
250	394	391
251	395	389
252	397	387
253	398	386
254	400	384
255	401	382
256	402	381
257	404	379
258	405	377
259	407	375
260	408	373
261	409	372
262	411	370
263	412	368
264	414	367
265	415	365
266	416	363
267	418	362
268	419	360
269	421	358
270	422	357
271	424	355
272	425	354
273	427	352
274	428	350
275	430	349
276	431	347
277	433	345
278	434	344
279	436	342
280	437	341
